offset_j2,offset_j3,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,mean_E1_queue_J1_J2,mean_neg_E1_queue_J2_J1,mean_E2_queue_J2_J3,mean_neg_E2_queue_J3_J2,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
35,20,3600,92.808,104,373.842,1063.0,7.661,0.0,24.254,62,0.425,2.666,8.276,0.746,3400,3310,90,0,0.0
35,25,3600,91.112,106,353.816,1019.0,7.811,0.0,22.856,57,0.418,2.22,6.988,1.112,3400,3313,87,0,0.0
35,30,3600,89.004,105,327.389,1021.0,8.0,0.0,21.23,50,0.414,1.901,5.29,1.504,3400,3319,81,0,0.0
35,35,3600,86.735,104,291.961,942.0,8.202,0.0,19.339,42,0.415,1.662,3.263,1.781,3400,3323,77,0,0.0
35,40,3600,85.76,106,273.669,879.0,8.289,0.0,18.531,42,0.413,1.898,1.32,2.574,3400,3327,73,0,0.0
35,45,3600,87.712,108,294.818,828.0,8.109,0.0,20.05,48,0.413,2.816,0.217,4.523,3400,3327,73,0,0.0
35,50,3600,90.031,110,328.307,796.0,7.901,0.0,22.124,51,0.422,3.595,0.059,5.989,3400,3323,77,0,0.0
35,55,3600,91.286,109,334.478,755.0,7.794,0.0,23.062,48,0.424,4.131,0.0,6.481,3400,3322,78,0,0.0
35,60,3600,90.404,108,304.891,752.0,7.871,0.0,22.141,42,0.413,4.141,0.0,5.554,3400,3323,77,0,0.0
35,65,3600,90.677,108,280.868,711.0,7.85,0.0,21.32,42,0.414,4.108,0.036,4.6,3400,3324,76,0,0.0
35,70,3600,91.146,109,262.752,666.0,7.803,0.0,20.852,44,0.415,4.092,0.445,3.635,3400,3319,81,0,0.0
35,75,3600,91.401,109,253.308,698.0,7.763,0.0,21.037,57,0.417,4.131,1.449,2.769,3400,3319,81,0,0.0
35,80,3600,91.318,108,246.912,887.0,7.76,0.0,21.158,64,0.436,4.149,2.654,1.89,3400,3321,79,0,0.0
35,85,3600,91.717,107,257.006,955.0,7.721,0.0,21.646,64,0.433,4.119,3.885,1.108,3400,3319,81,0,0.0
35,90,3600,91.796,108,270.524,1221.0,7.72,0.0,21.854,69,0.422,4.02,5.057,0.399,3400,3316,84,0,0.0
40,0,3600,91.893,109,240.59,1011.0,7.692,0.0,21.48,66,1.305,3.161,3.894,1.106,3400,3316,84,0,0.0
40,5,3600,92.361,108,262.334,950.0,7.665,0.0,22.078,65,1.308,3.1,5.105,0.411,3400,3316,84,0,0.0
40,10,3600,92.884,107,296.983,924.0,7.634,0.0,23.147,64,1.297,3.041,6.356,0.037,3400,3311,89,0,0.0
40,15,3600,93.072,107,327.402,865.0,7.632,0.0,23.994,62,1.294,2.877,7.51,0.05,3400,3309,91,0,0.0
40,20,3600,93.788,106,362.531,994.0,7.576,0.0,24.722,60,1.301,2.194,8.719,0.287,3400,3308,92,0,0.0
40,25,3600,93.222,107,369.741,1117.0,7.628,0.0,24.306,57,1.288,1.713,8.351,0.715,3400,3311,89,0,0.0
40,30,3600,91.075,106,348.004,1002.0,7.806,0.0,22.736,47,1.293,1.282,6.997,1.021,3400,3315,85,0,0.0
40,35,3600,89.14,105,324.691,1011.0,7.963,0.0,21.318,44,1.293,1.069,5.279,1.395,3400,3319,81,0,0.0
40,40,3600,86.836,106,291.001,1006.0,8.147,0.0,19.613,50,1.297,1.014,3.231,1.663,3400,3322,78,0,0.0
40,45,3600,85.865,108,266.016,991.0,8.229,0.0,18.763,48,1.294,1.445,1.199,2.649,3400,3328,72,0,0.0
40,50,3600,87.69,109,283.889,847.0,8.063,0.0,20.113,46,1.305,2.132,0.096,4.421,3400,3328,72,0,0.0
40,55,3600,90.351,111,316.155,880.0,7.828,0.0,22.194,50,1.308,2.771,0.0,6.008,3400,3323,77,0,0.0
40,60,3600,91.586,112,320.386,839.0,7.735,0.0,23.034,50,1.296,3.206,0.0,6.483,3400,3323,77,0,0.0
40,65,3600,90.968,111,295.328,765.0,7.795,0.0,22.308,50,1.297,3.189,0.0,5.562,3400,3324,76,0,0.0
40,70,3600,91.239,111,271.4,645.0,7.77,0.0,21.469,49,1.289,3.172,0.042,4.615,3400,3319,81,0,0.0
40,75,3600,91.412,110,250.323,635.0,7.742,0.0,20.882,47,1.301,3.191,0.443,3.679,3400,3319,81,0,0.0
40,80,3600,91.499,110,235.331,715.0,7.72,0.0,20.806,58,1.293,3.207,1.46,2.732,3400,3321,79,0,0.0
40,85,3600,91.726,110,233.352,980.0,7.696,0.0,21.166,67,1.319,3.197,2.664,1.915,3400,3320,80,0,0.0
40,90,3600,91.893,109,240.59,1011.0,7.692,0.0,21.48,66,1.305,3.161,3.894,1.106,3400,3316,84,0,0.0
45,0,3600,91.884,111,227.171,1033.0,7.671,0.0,21.192,70,2.371,2.261,2.691,1.859,3400,3315,85,0,0.0
45,5,3600,92.32,110,239.386,945.0,7.651,0.0,21.735,67,2.384,2.214,3.881,1.099,3400,3315,85,0,0.0
45,10,3600,92.873,107,263.485,939.0,7.626,0.0,22.486,66,2.374,2.232,5.081,0.429,3400,3312,88,0,0.0
45,15,3600,92.918,107,287.217,889.0,7.643,0.0,23.03,64,2.383,2.079,6.3,0.036,3400,3310,90,0,0.0
45,20,3600,93.097,105,320.946,898.0,7.636,0.0,24.003,63,2.328,1.991,7.54,0.0,3400,3308,92,0,0.0
45,25,3600,93.855,106,360.154,1044.0,7.575,0.0,24.815,60,2.383,1.328,8.73,0.235,3400,3309,91,0,0.0
45,30,3600,93.159,106,367.014,1147.0,7.631,0.0,24.347,52,2.358,0.906,8.335,0.665,3400,3312,88,0,0.0
45,35,3600,91.622,107,356.564,1139.0,7.744,0.0,23.329,48,2.359,0.637,7.045,1.013,3400,3316,84,0,0.0
45,40,3600,89.554,106,331.85,1130.0,7.893,0.0,21.993,54,2.363,0.585,5.344,1.329,3400,3320,80,0,0.0
45,45,3600,87.076,107,290.651,1168.0,8.092,0.0,20.201,52,2.379,0.733,3.275,1.658,3400,3323,77,0,0.0
45,50,3600,86.324,107,269.156,976.0,8.15,0.0,19.456,47,2.387,1.05,1.222,2.617,3400,3326,74,0,0.0
45,55,3600,87.981,112,281.768,929.0,7.994,0.0,20.497,47,2.359,1.556,0.051,4.459,3400,3327,73,0,0.0
45,60,3600,90.856,112,313.749,1000.0,7.758,0.0,22.49,49,2.363,1.985,0.0,6.116,3400,3327,73,0,0.0
45,65,3600,92.161,112,319.488,993.0,7.658,0.0,23.321,51,2.375,2.229,0.0,6.484,3400,3324,76,0,0.0
45,70,3600,91.273,111,290.44,872.0,7.745,0.0,22.423,49,2.353,2.251,0.0,5.546,3400,3319,81,0,0.0
45,75,3600,91.294,111,263.835,784.0,7.731,0.0,21.45,47,2.356,2.246,0.04,4.616,3400,3320,80,0,0.0
45,80,3600,91.386,112,240.218,667.0,7.712,0.0,20.737,45,2.362,2.264,0.443,3.628,3400,3321,79,0,0.0
45,85,3600,91.826,112,231.603,751.0,7.667,0.0,20.985,58,2.368,2.258,1.476,2.734,3400,3320,80,0,0.0
45,90,3600,91.884,111,227.171,1033.0,7.671,0.0,21.192,70,2.371,2.261,2.691,1.859,3400,3315,85,0,0.0
50,0,3600,91.849,115,231.239,829.0,7.661,0.0,20.878,55,3.504,1.303,1.428,2.713,3400,3316,84,0,0.0
50,5,3600,92.178,112,232.976,762.0,7.65,0.0,21.392,57,3.489,1.334,2.677,1.864,3400,3314,86,0,0.0
50,10,3600,92.793,112,248.107,732.0,7.621,0.0,22.106,54,3.468,1.328,3.87,1.126,3400,3312,88,0,0.0
50,15,3600,92.919,110,263.845,677.0,7.637,0.0,22.449,53,3.473,1.282,5.089,0.429,3400,3310,90,0,0.0
50,20,3600,93.02,108,289.936,790.0,7.646,0.0,23.155,52,3.506,1.249,6.317,0.033,3400,3308,92,0,0.0
50,25,3600,93.3,107,324.541,923.0,7.624,0.0,24.207,51,3.496,1.148,7.513,0.037,3400,3309,91,0,0.0
50,30,3600,94.22,107,370.024,1042.0,7.546,0.0,25.27,47,3.502,0.65,8.741,0.379,3400,3310,90,0,0.0
50,35,3600,93.818,107,384.769,1153.0,7.563,0.0,25.212,52,3.514,0.388,8.374,0.786,3400,3312,88,0,0.0
50,40,3600,92.133,107,370.994,1198.0,7.676,0.0,24.234,59,3.494,0.325,7.056,1.141,3400,3316,84,0,0.0
50,45,3600,89.708,107,336.535,1218.0,7.859,0.0,22.627,53,3.497,0.419,5.134,1.511,3400,3320,80,0,0.0
50,50,3600,87.871,110,303.148,1020.0,8.005,0.0,21.102,52,3.476,0.501,3.244,1.778,3400,3323,77,0,0.0
50,55,3600,86.851,109,274.361,941.0,8.084,0.0,19.992,48,3.477,0.687,1.21,2.636,3400,3323,77,0,0.0
