demand_scenario,demand_multiplier,offset,rows,mean_vehicle_count,max_vehicle_count,mean_total_waiting_time,max_total_waiting_time,mean_speed,min_mean_speed,mean_total_queue,max_total_queue,total_departed,total_arrived,final_active,final_buffered,buffered_ratio
medium,1.0,60,3600,64.79,79,222.927,632.0,7.545,0.0,16.165,39,2800,2747,53,0,0.0
medium,1.0,65,3600,70.706,85,318.079,806.0,6.911,0.0,21.091,48,2800,2734,66,0,0.0
medium,1.0,70,3600,83.708,108,485.557,1188.0,5.886,0.0,30.619,61,2800,2709,91,0,0.0
medium,1.0,75,3600,82.034,112,479.251,1223.0,5.99,0.0,29.827,68,2800,2709,91,0,0.0
medium,1.0,80,3600,69.273,87,316.706,1105.0,7.001,0.0,20.168,50,2800,2738,62,0,0.0
medium,1.0,85,3600,65.43,82,273.515,1114.0,7.391,0.0,17.549,48,2800,2745,55,0,0.0
medium,1.0,90,3600,65.199,84,274.231,1202.0,7.403,0.0,17.474,47,2800,2743,57,0,0.0
high,1.5,0,3600,160.336,202,1226.653,4329.0,4.178,0.0,71.997,150,3819,3651,168,385,0.092
high,1.5,5,3600,162.287,202,1316.944,4026.0,4.095,0.0,74.609,147,3810,3637,173,394,0.094
high,1.5,10,3600,148.593,195,1494.169,5393.0,4.219,0.0,72.499,140,3638,3502,136,566,0.135
high,1.5,15,3600,138.326,182,1483.013,4921.0,4.484,0.0,66.803,118,3628,3494,134,576,0.137
high,1.5,20,3600,152.597,197,1721.511,7787.0,4.068,0.0,76.62,135,3604,3453,151,600,0.143
high,1.5,25,3600,154.552,183,1775.259,4919.0,3.985,0.0,78.647,134,3574,3420,154,630,0.15
high,1.5,30,3600,161.298,191,1334.091,4476.0,4.022,0.0,75.253,125,3739,3568,171,465,0.111
high,1.5,35,3600,161.192,190,1186.29,2475.0,4.207,0.0,71.264,113,3866,3695,171,338,0.08
high,1.5,40,3600,159.653,190,1158.225,1944.0,4.241,0.0,69.842,104,3869,3695,174,335,0.08
high,1.5,45,3600,143.193,177,952.922,1917.0,4.76,0.0,57.712,95,3917,3758,159,287,0.068
high,1.5,50,3600,144.481,176,993.666,1937.0,4.628,0.0,60.018,101,3858,3710,148,346,0.082
high,1.5,55,3600,133.114,163,938.916,2194.0,4.869,0.0,55.749,92,3756,3627,129,448,0.107
high,1.5,60,3600,130.935,157,982.432,4437.0,4.839,0.0,56.241,102,3707,3581,126,497,0.118
high,1.5,65,3600,129.678,156,1239.489,4769.0,4.624,0.0,60.326,98,3543,3418,125,661,0.157
high,1.5,70,3600,129.317,157,1351.801,5494.0,4.591,0.0,61.702,94,3520,3388,132,684,0.163
high,1.5,75,3600,130.141,162,1308.394,5630.0,4.587,0.0,61.441,101,3546,3415,131,658,0.157
