distance,demand_name,demand_multiplier,scenario_label,sim_waiting_time,best_offset,optimized_offset_waiting_time,qmix_waiting_time,optimized_offset_coordination_gain_percent,qmix_coordination_gain_percent,qmix_gap_vs_optimized_offset_percent,coordination_regime,sim_buffered_ratio,optimized_offset_buffered_ratio,qmix_buffered_ratio,qmix_capacity_regime,qmix_total_departed,qmix_total_arrived,qmix_final_active,qmix_final_buffered,gap_used_percent,seed_evidence,gap_source,gap_ci_low,gap_ci_high,regime_stability_percent,final_integrated_dchf_code,final_integrated_dchf_label
300,low,0.5,d300_low,90.362,45,82.233,167.802,8.996,-85.7,104.056,Outside coordination horizon,0.0,0.0,0.0,Unconstrained,1400,1376,30,0,76.864,5-seed paired,5-seed demand sweep,68.17,85.33,,5,Outside coordination horizon
300,medium,1.0,d300_medium,274.231,45,175.672,180.821,35.94,34.062,2.931,Effective coordination zone,0.0,0.0,0.0021,Unconstrained,2794,2749,51,6,2.678,5-seed paired,5-seed spatial sweep + 5-seed demand sweep,1.97,3.28,,1,Useful effective coordination
300,high,1.5,d300_high,1284.135,55,881.743,922.181,31.336,28.187,4.586,Effective coordination zone,0.094,0.108,0.0648,Mild insertion pressure,3928,3771,163,272,2.74,5-seed paired,5-seed demand sweep,-0.02,5.26,,1,Useful effective coordination
300,saturation,2.0,d300_saturation,1432.412,45,1261.463,1267.017,11.934,11.547,0.44,Effective coordination zone,0.231,0.198,0.2013,Capacity-limited,4473,4292,187,1127,0.985,5-seed paired,5-seed demand sweep,0.33,1.83,,2,Algorithmically effective but capacity-constrained
300,oversaturation,2.5,d300_oversaturation,2587.158,50,2235.634,2242.664,13.587,13.316,0.314,Effective coordination zone,0.342,0.302,0.2956,Oversaturated,4931,4667,270,2069,7.123,5-seed paired,5-seed demand sweep,4.17,9.77,,4,Marginal coordination
500,low,0.5,d500_low,142.543,50,75.894,165.049,46.757,-15.789,117.473,Outside coordination horizon,0.0,0.0,0.0,Unconstrained,1400,1376,30,0,117.473,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
500,medium,1.0,d500_medium,291.246,70,226.379,335.613,22.272,-15.233,48.253,Outside coordination horizon,0.0,0.0,0.0021,Unconstrained,2794,2729,71,6,25.487,5-seed paired,5-seed spatial sweep,14.69,37.1,,5,Outside coordination horizon
500,high,1.5,d500_high,849.522,0,849.522,1295.221,0.0,-52.465,52.465,Outside coordination horizon,0.056,0.056,0.0812,Mild insertion pressure,3859,3677,188,341,52.465,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
500,saturation,2.0,d500_saturation,1345.466,10,1324.596,1489.553,1.551,-10.709,12.453,Outside coordination horizon,0.199,0.199,0.2486,Capacity-limited,4208,4025,189,1392,7.406,5-seed paired,5-seed boundary rerun,4.415,10.645,40.0,4,Marginal coordination
500,oversaturation,2.5,d500_oversaturation,2310.723,0,2310.723,2449.686,0.0,-6.014,6.014,Marginal coordination zone,0.3,0.3,0.3217,Oversaturated,4748,4491,263,2252,6.031,5-seed paired,5-seed boundary rerun,3.232,10.107,20.0,4,Marginal coordination
750,low,0.5,d750_low,99.407,40,88.713,125.337,10.758,-26.084,41.284,Outside coordination horizon,0.0,0.0,0.0,Unconstrained,1400,1378,28,0,41.284,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
750,medium,1.0,d750_medium,197.676,0,197.676,360.508,0.0,-82.374,82.374,Outside coordination horizon,0.0,0.0,0.0021,Unconstrained,2794,2716,84,6,69.378,5-seed paired,5-seed spatial sweep,59.43,79.33,,5,Outside coordination horizon
750,high,1.5,d750_high,830.32,10,818.705,1476.175,1.399,-77.784,80.306,Outside coordination horizon,0.062,0.071,0.139,Capacity-limited,3616,3432,190,584,80.306,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
750,saturation,2.0,d750_saturation,1223.407,0,1223.407,1949.399,0.0,-59.342,59.342,Outside coordination horizon,0.182,0.182,0.2666,Oversaturated,4107,3919,194,1493,59.342,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
750,oversaturation,2.5,d750_oversaturation,2209.334,5,2194.289,2412.179,0.681,-9.181,9.93,Marginal coordination zone,0.288,0.287,0.3209,Oversaturated,4754,4473,287,2246,12.333,5-seed paired,5-seed boundary rerun,9.093,16.657,60.0,5,Outside coordination horizon
1000,low,0.5,d1000_low,76.254,0,76.254,176.973,0.0,-132.084,132.084,Outside coordination horizon,0.0,0.0,0.0,Unconstrained,1400,1369,37,0,132.084,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
1000,medium,1.0,d1000_medium,185.13,85,185.0,294.072,0.07,-58.846,58.958,Outside coordination horizon,0.0,0.0,0.0021,Unconstrained,2794,2727,73,6,59.062,5-seed paired,5-seed spatial sweep,55.55,62.57,,5,Outside coordination horizon
1000,high,1.5,d1000_high,1295.321,40,881.374,1160.779,31.957,10.387,31.701,Outside coordination horizon,0.117,0.075,0.0679,Mild insertion pressure,3915,3717,204,285,31.701,1-seed exploratory,joint-grid single seed,,,,5,Outside coordination horizon
1000,saturation,2.0,d1000_saturation,1389.375,45,1358.308,1414.407,2.236,-1.802,4.13,Effective coordination zone,0.226,0.205,0.2177,Capacity-limited,4381,4172,215,1219,1.768,5-seed paired,5-seed boundary rerun,-0.776,3.735,100.0,2,Algorithmically effective but capacity-constrained
1000,oversaturation,2.5,d1000_oversaturation,2297.868,0,2297.868,2311.272,0.0,-0.583,0.583,Effective coordination zone,0.312,0.312,0.3084,Oversaturated,4841,4545,302,2159,1.794,5-seed paired,5-seed boundary rerun,0.108,3.853,80.0,2,Algorithmically effective but capacity-constrained
