N,distance_m,demand,multiplier,offset,mean_total_waiting_time,max_total_waiting_time,mean_speed,mean_total_queue,max_total_queue,mean_vehicle_count,max_vehicle_count,total_expected,total_departed,total_arrived,buffered_ratio,capacity_regime,total_teleports
5,500,medium,1.0,5,1043.088,3272.0,8.673,58.572,138,232.337,271,4600.0,4600,4370,0.0,Unconstrained,0
5,500,medium,1.0,10,786.934,1715.0,9.065,49.27,92,221.709,265,4600.0,4600,4366,0.0,Unconstrained,0
5,500,medium,1.0,15,689.682,1410.0,9.23,45.436,79,217.346,244,4600.0,4600,4374,0.0,Unconstrained,0
5,500,medium,1.0,20,608.718,1251.0,9.416,41.084,62,212.771,242,4600.0,4600,4374,0.0,Unconstrained,0
5,500,medium,1.0,25,495.698,1060.0,9.721,34.821,59,206.063,234,4600.0,4600,4393,0.0,Unconstrained,0
5,500,medium,1.0,30,403.905,1016.0,10.035,28.91,62,199.798,223,4600.0,4600,4395,0.0,Unconstrained,0
5,500,medium,1.0,35,282.082,721.0,10.478,21.161,39,191.256,214,4600.0,4600,4407,0.0,Unconstrained,0
5,500,medium,1.0,40,237.93,607.0,10.729,16.855,32,186.77,216,4600.0,4600,4404,0.0,Unconstrained,0
5,500,medium,1.0,45,212.672,894.0,10.861,14.679,46,184.711,211,4600.0,4600,4409,0.0,Unconstrained,0
5,500,medium,1.0,50,223.607,631.0,10.78,16.096,29,185.984,210,4600.0,4600,4418,0.0,Unconstrained,0
5,500,medium,1.0,55,303.154,738.0,10.415,22.089,42,192.566,218,4600.0,4600,4409,0.0,Unconstrained,0
5,500,medium,1.0,60,396.329,1129.0,10.056,28.589,68,199.391,225,4600.0,4600,4406,0.0,Unconstrained,0
5,500,medium,1.0,65,487.75,1114.0,9.741,34.399,58,205.702,229,4600.0,4600,4387,0.0,Unconstrained,0
5,500,medium,1.0,70,604.544,1256.0,9.427,40.768,63,212.543,244,4600.0,4600,4385,0.0,Unconstrained,0
5,500,medium,1.0,75,696.272,1275.0,9.217,45.743,78,217.578,245,4600.0,4600,4380,0.0,Unconstrained,0
