distance,decision,step,action_j1,action_j2,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,reward,done
100,8,327,0,1,65,11.0,7.921,8,0,2,-11.0,False
100,8,328,0,1,65,15.0,8.191,3,0,2,-15.0,False
100,8,329,0,1,65,20.0,8.481,4,0,2,-20.0,False
100,8,330,0,1,65,28.0,8.605,8,0,2,-28.0,False
100,8,331,0,1,65,36.0,8.865,7,0,2,-36.0,False
100,8,332,0,1,66,45.0,8.961,9,0,2,-45.0,False
100,8,333,0,1,67,50.0,8.978,8,0,2,-50.0,False
100,8,334,0,1,67,59.0,9.123,8,0,2,-59.0,False
100,8,335,0,1,67,69.0,9.126,9,0,2,-69.0,False
100,8,336,0,1,67,80.0,9.09,10,0,2,-80.0,False
100,8,337,0,1,67,93.0,9.056,12,0,2,-93.0,False
100,8,338,0,1,65,97.0,8.669,14,0,2,-97.0,False
100,8,339,0,1,65,108.0,8.103,15,0,2,-108.0,False
100,8,340,0,1,65,122.0,7.935,14,0,2,-122.0,False
100,8,341,0,1,64,137.0,7.769,15,0,2,-137.0,False
100,8,342,0,1,64,153.0,7.537,16,0,2,-153.0,False
100,8,343,0,1,63,171.0,7.391,18,0,2,-171.0,False
100,8,344,0,1,68,189.0,6.535,24,0,2,-189.0,False
100,8,345,0,1,67,209.0,6.527,18,0,2,-209.0,False
100,8,346,0,1,65,231.0,6.343,20,0,2,-231.0,False
100,8,347,0,1,65,251.0,6.253,22,0,2,-251.0,False
100,8,348,0,1,65,274.0,6.282,23,0,2,-274.0,False
100,8,349,0,1,65,294.0,6.441,24,0,2,-294.0,False
100,8,350,0,1,66,318.0,6.557,25,0,2,-318.0,False
100,8,351,0,1,66,344.0,6.488,27,0,2,-344.0,False
100,8,352,0,1,66,370.0,6.532,26,0,2,-370.0,False
100,8,353,0,1,65,397.0,6.653,27,0,2,-397.0,False
100,8,354,0,1,66,425.0,6.186,30,0,2,-425.0,False
100,8,355,0,1,65,453.0,6.165,28,0,2,-453.0,False
100,8,356,0,1,63,481.0,5.958,28,0,2,-481.0,False
100,8,357,0,1,62,510.0,5.657,30,0,2,-510.0,False
100,8,358,0,1,61,540.0,5.642,30,0,2,-540.0,False
100,8,359,0,1,60,572.0,5.524,32,0,2,-572.0,False
100,8,360,0,1,58,604.0,5.118,32,0,2,-604.0,False
100,8,361,0,1,58,636.0,4.703,33,0,2,-636.0,False
100,9,362,1,0,61,668.0,3.963,37,1,3,0.0,False
100,9,363,1,0,60,702.0,4.035,34,1,3,0.0,False
100,9,364,1,0,59,738.0,3.998,36,1,3,0.0,False
100,9,365,1,0,59,505.0,4.334,28,2,0,-505.0,False
100,9,366,1,0,59,317.0,4.869,20,2,0,-317.0,False
100,9,367,1,0,57,206.0,4.782,16,2,0,-206.0,False
100,9,368,1,0,57,128.0,5.331,11,2,0,-128.0,False
100,9,369,1,0,58,71.0,5.704,8,2,0,-71.0,False
100,9,370,1,0,57,30.0,5.975,6,2,0,-30.0,False
100,9,371,1,0,57,22.0,6.395,5,2,0,-22.0,False
100,9,372,1,0,57,30.0,7.016,5,2,0,-30.0,False
100,9,373,1,0,58,35.0,7.538,6,2,0,-35.0,False
100,9,374,1,0,58,40.0,7.868,5,2,0,-40.0,False
100,9,375,1,0,58,49.0,8.15,6,2,0,-49.0,False
100,9,376,1,0,60,59.0,8.085,9,2,0,-59.0,False
100,9,377,1,0,59,71.0,8.016,9,2,0,-71.0,False
100,9,378,1,0,59,85.0,7.953,11,2,0,-85.0,False
100,9,379,1,0,63,99.0,7.085,17,2,0,-99.0,False
100,9,380,1,0,63,113.0,7.391,11,2,0,-113.0,False
100,9,381,1,0,63,129.0,7.47,13,2,0,-129.0,False
100,9,382,1,0,65,102.0,7.433,16,2,0,-102.0,False
100,9,383,1,0,63,104.0,7.423,15,2,0,-104.0,False
100,9,384,1,0,63,108.0,7.727,15,2,0,-108.0,False
100,9,385,1,0,65,99.0,7.841,15,2,0,-99.0,False
100,9,386,1,0,65,98.0,8.385,11,2,0,-98.0,False
100,9,387,1,0,64,98.0,8.614,10,2,0,-98.0,False
100,9,388,1,0,64,108.0,8.821,10,2,0,-108.0,False
100,9,389,1,0,62,120.0,8.893,12,2,0,-120.0,False
100,9,390,1,0,63,132.0,9.012,13,2,0,-132.0,False
100,9,391,1,0,62,145.0,8.761,14,2,0,-145.0,False
100,9,392,1,0,62,158.0,8.732,13,2,0,-158.0,False
100,9,393,1,0,61,171.0,8.565,13,2,0,-171.0,False
100,9,394,1,0,60,185.0,8.295,14,2,0,-185.0,False
100,9,395,1,0,59,199.0,7.912,14,2,0,-199.0,False
100,9,396,1,0,60,215.0,6.895,21,2,0,-215.0,False
100,9,397,1,0,58,232.0,6.52,17,2,0,-232.0,False
100,9,398,1,0,58,250.0,6.168,19,2,0,-250.0,False
100,9,399,1,0,57,270.0,6.101,20,2,0,-270.0,False
100,9,400,1,0,53,290.0,5.77,20,2,0,-290.0,False
100,9,401,1,0,58,312.0,5.208,27,2,0,-312.0,False
100,9,402,1,0,57,336.0,5.072,24,2,0,-336.0,False
100,9,403,1,0,56,362.0,5.18,26,2,0,-362.0,False
100,9,404,1,0,61,388.0,4.909,31,2,0,-388.0,False
100,9,405,1,0,59,414.0,4.851,26,2,0,-414.0,False
100,9,406,1,0,60,442.0,5.196,29,2,0,-442.0,False
100,10,407,0,1,60,470.0,5.245,29,3,1,0.0,False
100,10,408,0,1,60,499.0,5.377,29,3,1,0.0,False
100,10,409,0,1,60,528.0,5.599,29,3,1,0.0,False
100,10,410,0,1,60,333.0,5.821,22,0,2,-333.0,False
100,10,411,0,1,60,233.0,6.253,18,0,2,-233.0,False
100,10,412,0,1,60,156.0,6.427,14,0,2,-156.0,False
100,10,413,0,1,65,106.0,5.907,17,0,2,-106.0,False
100,10,414,0,1,65,70.0,6.39,7,0,2,-70.0,False
100,10,415,0,1,64,48.0,6.801,6,0,2,-48.0,False
100,10,416,0,1,65,41.0,7.324,7,0,2,-41.0,False
100,10,417,0,1,63,24.0,7.862,7,0,2,-24.0,False
100,10,418,0,1,62,33.0,8.386,8,0,2,-33.0,False
100,10,419,0,1,63,43.0,8.264,11,0,2,-43.0,False
100,10,420,0,1,63,54.0,8.42,10,0,2,-54.0,False
