step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_pressure,J1_main_pressure,J2_side_pressure,J2_main_pressure
122,main_green,main_green,54,222.0,8.95688502553383,12,2,2,4.0,12.0,6.0,16.0
123,main_green,main_green,54,234.0,8.905977009313093,12,2,2,4.0,12.0,6.0,16.0
124,main_green,main_green,56,246.0,8.561156490671289,14,2,2,4.0,12.0,6.0,16.0
125,main_green,main_green,56,258.0,8.814118762099111,12,2,2,4.0,12.0,6.0,16.0
126,main_green,main_green,56,270.0,8.736038506799467,12,2,2,8.0,10.0,8.0,10.0
127,main_green,main_green,56,283.0,8.78738095699591,13,2,2,8.0,10.0,8.0,10.0
128,main_green,main_green,57,298.0,8.720382822903346,16,2,2,8.0,10.0,8.0,10.0
129,main_green,main_green,58,314.0,8.700550009505987,17,2,2,8.0,10.0,8.0,10.0
130,main_green,main_green,58,330.0,8.876081659128461,16,2,2,8.0,10.0,8.0,10.0
131,main_green,main_green,58,346.0,8.948603205620559,16,2,2,8.0,10.0,8.0,10.0
132,main_green,main_green,63,362.0,8.34603273355956,21,2,2,8.0,10.0,8.0,10.0
133,main_green,main_green,63,378.0,8.548653082731327,16,2,2,8.0,10.0,8.0,10.0
134,main_green,main_green,64,394.0,8.658410654170947,17,2,2,8.0,10.0,8.0,10.0
135,main_green,main_green,63,410.0,8.672751622551786,16,2,2,8.0,10.0,8.0,10.0
136,yellow_transition,yellow_transition,62,426.0,8.189762504305573,17,3,3,12.0,12.0,10.0,6.0
137,yellow_transition,yellow_transition,61,442.0,7.945717402673451,16,3,3,12.0,12.0,10.0,6.0
138,yellow_transition,yellow_transition,59,458.0,7.724429790733008,16,3,3,12.0,12.0,10.0,6.0
139,main_green,side_green,59,308.0,7.70759896626893,14,2,0,12.0,12.0,10.0,6.0
140,main_green,side_green,59,248.0,7.575381659333231,13,2,0,12.0,12.0,10.0,6.0
