step,vehicle_count,total_waiting_time,mean_speed,phase,state
139,51,216.0,7.356962048732846,5,rrrrrrrrrrrr
140,51,107.0,7.6538903623701575,0,GGgrrrGGgrrr
141,50,57.0,7.456033532923007,0,GGgrrrGGgrrr
142,51,31.0,7.404229251004502,0,GGgrrrGGgrrr
143,50,21.0,7.398980795303985,0,GGgrrrGGgrrr
144,50,25.0,7.6000089638342425,0,GGgrrrGGgrrr
145,49,29.0,7.592332066092211,0,GGgrrrGGgrrr
146,48,33.0,7.116998822988216,0,GGgrrrGGgrrr
147,48,39.0,6.862262615816275,0,GGgrrrGGgrrr
148,48,47.0,6.894820790934166,0,GGgrrrGGgrrr
149,47,57.0,6.807675119451112,0,GGgrrrGGgrrr
150,47,60.0,6.6239725266328096,0,GGgrrrGGgrrr
151,46,64.0,6.688166411597826,0,GGgrrrGGgrrr
152,48,70.0,6.622244141163478,0,GGgrrrGGgrrr
153,46,76.0,6.435908764304422,0,GGgrrrGGgrrr
154,45,83.0,6.214527904294935,0,GGgrrrGGgrrr
155,46,90.0,6.0155645782106095,0,GGgrrrGGgrrr
156,46,99.0,5.775099145651072,0,GGgrrrGGgrrr
157,46,108.0,5.585201591790747,0,GGgrrrGGgrrr
158,46,118.0,5.823260342678869,0,GGgrrrGGgrrr
159,46,129.0,6.062772847125126,0,GGgrrrGGgrrr
160,47,140.0,5.8917563470504115,0,GGgrrrGGgrrr
161,45,151.0,5.719210523959879,0,GGgrrrGGgrrr
162,46,163.0,5.7072449447126505,0,GGgrrrGGgrrr
163,46,176.0,5.873703589018897,0,GGgrrrGGgrrr
164,46,188.0,6.134735745453721,0,GGgrrrGGgrrr
165,47,201.0,6.1034594170429886,0,GGgrrrGGgrrr
166,48,215.0,5.99986562007015,0,GGgrrrGGgrrr
167,48,227.0,5.990428530060449,0,GGgrrrGGgrrr
168,49,227.0,5.944647085991683,0,GGgrrrGGgrrr
169,49,229.0,6.126336665985363,0,GGgrrrGGgrrr
170,49,241.0,6.401473526000199,1,yyyrrryyyrrr
171,49,254.0,6.394030755617598,1,yyyrrryyyrrr
172,49,267.0,6.6366562067207076,1,yyyrrryyyrrr
173,50,280.0,6.615274906337886,2,rrrrrrrrrrrr
174,51,293.0,6.584460063654251,2,rrrrrrrrrrrr
175,49,200.0,6.45523147093415,3,rrrGGgrrrGGg
176,48,139.0,6.5837402452039475,3,rrrGGgrrrGGg
177,49,98.0,6.6075909753627595,3,rrrGGgrrrGGg
178,50,62.0,6.4368979885804665,3,rrrGGgrrrGGg
179,50,36.0,6.64066450810339,3,rrrGGgrrrGGg
180,50,21.0,6.9298748384940225,3,rrrGGgrrrGGg
181,50,15.0,7.138001019023411,3,rrrGGgrrrGGg
182,50,17.0,7.082201349378003,3,rrrGGgrrrGGg
183,50,18.0,6.963734550799104,3,rrrGGgrrrGGg
184,49,22.0,6.8888943798860245,3,rrrGGgrrrGGg
185,48,26.0,6.985652532509138,3,rrrGGgrrrGGg
186,47,30.0,7.050461722666204,3,rrrGGgrrrGGg
187,46,34.0,7.204034915200749,3,rrrGGgrrrGGg
188,46,38.0,7.094442296187922,3,rrrGGgrrrGGg
189,46,42.0,7.2069426322290955,3,rrrGGgrrrGGg
190,47,46.0,7.049681532420018,3,rrrGGgrrrGGg
191,47,50.0,6.834373690986772,3,rrrGGgrrrGGg
192,47,54.0,6.9516076975420775,3,rrrGGgrrrGGg
193,48,59.0,6.7529385338259935,3,rrrGGgrrrGGg
194,47,66.0,6.8578083218907455,3,rrrGGgrrrGGg
195,46,71.0,6.856069773894951,3,rrrGGgrrrGGg
196,46,78.0,7.043067050569059,3,rrrGGgrrrGGg
197,46,85.0,7.267839281477646,3,rrrGGgrrrGGg
198,47,92.0,7.381840425465113,3,rrrGGgrrrGGg
199,48,99.0,7.372922673958499,3,rrrGGgrrrGGg
200,47,106.0,7.454673666318427,3,rrrGGgrrrGGg
201,46,114.0,7.306689969666609,3,rrrGGgrrrGGg
202,45,122.0,7.456528558409688,3,rrrGGgrrrGGg
203,46,130.0,7.533475046630096,3,rrrGGgrrrGGg
204,47,138.0,7.676965981124751,3,rrrGGgrrrGGg
205,47,146.0,7.799504772087409,4,rrryyyrrryyy
206,47,154.0,7.799713512135115,4,rrryyyrrryyy
207,48,164.0,7.552193020989496,4,rrryyyrrryyy
208,46,175.0,7.173964475108187,5,rrrrrrrrrrrr
209,46,187.0,7.018393508577652,5,rrrrrrrrrrrr
210,46,85.0,6.773599909974894,0,GGgrrrGGgrrr
211,45,44.0,6.827575191295343,0,GGgrrrGGgrrr
212,45,30.0,6.989326211195623,0,GGgrrrGGgrrr
213,45,24.0,6.857424672896861,0,GGgrrrGGgrrr
214,46,26.0,6.800581791754394,0,GGgrrrGGgrrr
215,46,33.0,6.768877427614109,0,GGgrrrGGgrrr
216,45,42.0,6.729395022953913,0,GGgrrrGGgrrr
217,44,51.0,6.426597035214127,0,GGgrrrGGgrrr
218,43,61.0,6.415039271425856,0,GGgrrrGGgrrr
219,43,71.0,6.590278703447292,0,GGgrrrGGgrrr
220,43,72.0,6.466006231603097,0,GGgrrrGGgrrr
221,43,78.0,6.259850174346051,0,GGgrrrGGgrrr
222,42,84.0,6.152798621860636,0,GGgrrrGGgrrr
223,43,89.0,6.004930651174899,0,GGgrrrGGgrrr
224,44,97.0,5.9294863027364135,0,GGgrrrGGgrrr
225,42,105.0,5.576308529580449,0,GGgrrrGGgrrr
226,43,114.0,5.234152267354508,0,GGgrrrGGgrrr
227,43,124.0,5.448524059449594,0,GGgrrrGGgrrr
228,43,134.0,5.650933443935105,0,GGgrrrGGgrrr
229,43,142.0,5.507849506427888,0,GGgrrrGGgrrr
230,43,153.0,5.835275370394712,0,GGgrrrGGgrrr
231,43,164.0,5.7572626114033305,0,GGgrrrGGgrrr
232,43,176.0,5.842946249916287,0,GGgrrrGGgrrr
233,43,189.0,5.804365557337024,0,GGgrrrGGgrrr
234,43,203.0,5.6718096288013164,0,GGgrrrGGgrrr
235,44,219.0,5.542369907977397,0,GGgrrrGGgrrr
236,44,227.0,5.630148288568396,0,GGgrrrGGgrrr
237,46,236.0,5.571008115992055,0,GGgrrrGGgrrr
238,46,246.0,5.862424374969995,0,GGgrrrGGgrrr
239,46,255.0,6.124436443684779,0,GGgrrrGGgrrr
240,45,269.0,6.1121770716015265,1,yyyrrryyyrrr
241,45,276.0,6.283473866159319,1,yyyrrryyyrrr
242,46,285.0,6.248411937801829,1,yyyrrryyyrrr
243,46,299.0,6.381094259897944,2,rrrrrrrrrrrr
244,46,313.0,6.42933986581772,2,rrrrrrrrrrrr
245,44,233.0,6.064183931694791,3,rrrGGgrrrGGg
246,45,176.0,5.3562968142182426,3,rrrGGgrrrGGg
247,45,129.0,5.230279266042828,3,rrrGGgrrrGGg
248,45,91.0,5.436669037739649,3,rrrGGgrrrGGg
249,45,61.0,5.5676427926901475,3,rrrGGgrrrGGg
250,45,49.0,5.599599030170613,3,rrrGGgrrrGGg
251,45,57.0,5.721070287416381,3,rrrGGgrrrGGg
252,45,52.0,5.370453189179938,3,rrrGGgrrrGGg
253,44,53.0,5.318496610826645,3,rrrGGgrrrGGg
254,44,60.0,5.122239522686144,3,rrrGGgrrrGGg
255,44,67.0,5.129161023008608,3,rrrGGgrrrGGg
256,44,75.0,5.067052122053813,3,rrrGGgrrrGGg
257,46,83.0,4.820543858773262,3,rrrGGgrrrGGg
258,46,92.0,4.684909099597587,3,rrrGGgrrrGGg
259,46,102.0,5.025001665731727,3,rrrGGgrrrGGg
260,46,112.0,5.415070040502736,3,rrrGGgrrrGGg
261,46,122.0,5.550599684071653,3,rrrGGgrrrGGg
262,48,132.0,5.599608609976737,3,rrrGGgrrrGGg
263,48,142.0,5.798199129489656,3,rrrGGgrrrGGg
264,47,152.0,5.925669468658527,3,rrrGGgrrrGGg
265,47,163.0,6.196043654689421,3,rrrGGgrrrGGg
266,48,174.0,6.280438668440894,3,rrrGGgrrrGGg
