decision,step,action,vehicle_count,total_waiting_time,mean_speed,current_green,queue_phase_0,queue_phase_3,reward,done
5,157,1,48,91.0,7.643489857643142,3,9,0,-91.0,False
5,158,1,46,98.0,7.535372243558371,3,7,0,-98.0,False
5,159,1,46,105.0,7.637204697601195,3,7,0,-105.0,False
5,160,1,45,113.0,7.761453783093414,3,8,0,-113.0,False
5,161,1,47,122.0,7.673634938219136,3,9,2,-122.0,False
5,162,1,48,131.0,7.747021673490232,3,10,0,-131.0,False
5,163,1,48,140.0,7.9122801860856455,3,9,0,-140.0,False
5,164,1,48,149.0,7.89300711276788,3,9,0,-149.0,False
5,165,1,48,159.0,7.945672943873429,3,10,0,-159.0,False
5,166,1,50,169.0,7.7360020035200865,3,10,2,-169.0,False
6,167,0,51,180.0,7.763194284442857,3,12,0,0.0,False
6,168,0,51,191.0,7.968877438335468,3,11,0,0.0,False
6,169,0,49,202.0,7.860622347300956,3,11,0,0.0,False
6,170,0,49,213.0,7.998171021789987,3,11,0,0.0,False
6,171,0,47,225.0,7.751792080740154,3,12,0,0.0,False
6,172,0,49,104.0,7.411195010942429,0,9,1,-104.0,False
6,173,0,47,45.0,7.16792126910747,0,4,1,-45.0,False
6,174,0,47,21.0,7.327876391047746,0,2,1,-21.0,False
6,175,0,47,8.0,7.359637386098139,0,2,1,-8.0,False
6,176,0,47,5.0,7.592268144412691,0,0,2,-5.0,False
6,177,0,47,7.0,7.546401849023629,0,1,2,-7.0,False
6,178,0,46,9.0,7.193822913621192,0,0,3,-9.0,False
6,179,0,47,12.0,7.141028023057659,0,0,3,-12.0,False
6,180,0,45,17.0,6.88088452146693,0,0,3,-17.0,False
6,181,0,45,24.0,6.869744254085133,0,0,3,-24.0,False
6,182,0,44,31.0,6.4188386559854385,0,1,3,-31.0,False
6,183,0,45,35.0,6.389443161998217,0,2,4,-35.0,False
6,184,0,44,40.0,6.303066192098887,0,2,4,-40.0,False
6,185,0,43,46.0,6.379155014915999,0,2,4,-46.0,False
6,186,0,43,46.0,6.599177630114105,0,2,4,-46.0,False
6,187,0,44,44.0,6.7033367116494,0,2,4,-44.0,False
6,188,0,43,44.0,6.848515204365789,0,0,5,-44.0,False
6,189,0,42,49.0,6.934271835484721,0,0,5,-49.0,False
6,190,0,41,54.0,6.868150585136929,0,0,5,-54.0,False
6,191,0,41,59.0,6.678659465530201,0,1,5,-59.0,False
6,192,0,41,65.0,6.4220266740410334,0,0,7,-65.0,False
6,193,0,42,72.0,6.309859121678518,0,1,7,-72.0,False
6,194,0,43,79.0,6.357408754786027,0,0,8,-79.0,False
6,195,0,43,87.0,6.466913973150993,0,0,8,-87.0,False
6,196,0,43,96.0,6.539553453629876,0,0,8,-96.0,False
6,197,0,43,105.0,6.591554971572054,0,0,8,-105.0,False
6,198,0,44,114.0,6.508615323394477,0,1,8,-114.0,False
6,199,0,45,120.0,6.511250080143919,0,0,10,-120.0,False
6,200,0,45,129.0,6.7679552911118,0,0,9,-129.0,False
6,201,0,45,139.0,6.9354382294139905,0,0,10,-139.0,False
7,202,1,46,149.0,6.966080917249521,0,1,10,0.0,False
7,203,1,47,161.0,6.96372892247366,0,2,11,0.0,False
7,204,1,47,173.0,6.812081574800257,0,1,12,0.0,False
7,205,1,47,186.0,6.972913636990083,0,2,11,0.0,False
7,206,1,46,199.0,7.01996574189571,0,2,11,0.0,False
7,207,1,44,125.0,6.736755206656877,3,2,8,-125.0,False
7,208,1,46,82.0,6.3321527258132315,3,4,7,-82.0,False
7,209,1,45,56.0,6.073550738663919,3,3,4,-56.0,False
7,210,1,45,37.0,6.187079411068154,3,4,3,-37.0,False
7,211,1,44,33.0,6.3487150421085286,3,5,2,-33.0,False
7,212,1,43,30.0,6.310491528455863,3,5,1,-30.0,False
7,213,1,44,36.0,6.346754785296898,3,6,1,-36.0,False
7,214,1,43,38.0,6.005121351525023,3,6,0,-38.0,False
7,215,1,44,44.0,6.228148604577325,3,6,1,-44.0,False
7,216,1,44,50.0,6.640963137311984,3,6,0,-50.0,False
7,217,1,44,56.0,6.952594481474489,3,6,0,-56.0,False
7,218,1,46,62.0,6.953874863451698,3,7,1,-62.0,False
7,219,1,43,68.0,6.844044105504769,3,6,0,-68.0,False
7,220,1,42,74.0,6.98502622122013,3,6,0,-74.0,False
7,221,1,42,81.0,7.311251533919698,3,7,0,-81.0,False
7,222,1,43,88.0,7.473011236183075,3,7,1,-88.0,False
7,223,1,44,95.0,7.482513285207807,3,8,0,-95.0,False
7,224,1,45,102.0,7.302097335240143,3,8,0,-102.0,False
7,225,1,45,109.0,7.1230755378323405,3,7,1,-109.0,False
7,226,1,44,118.0,7.082661613245326,3,9,0,-118.0,False
7,227,1,44,127.0,6.970967393954546,3,9,1,-127.0,False
7,228,1,45,136.0,7.1112829999647325,3,10,0,-136.0,False
7,229,1,45,145.0,7.474995537925304,3,9,0,-145.0,False
7,230,1,45,154.0,7.349995211854985,3,9,1,-154.0,False
7,231,1,45,163.0,7.439889886543061,3,9,0,-163.0,False
7,232,1,44,173.0,7.365640315623324,3,10,0,-173.0,False
7,233,1,45,183.0,7.388505470018392,3,11,0,-183.0,False
7,234,1,45,193.0,7.500721599232314,3,10,0,-193.0,False
7,235,1,45,204.0,7.574978995407593,3,11,0,-204.0,False
7,236,1,46,215.0,7.446044322398023,3,11,1,-215.0,False
8,237,0,46,227.0,7.6227743744207865,3,12,0,0.0,False
8,238,0,48,239.0,7.485022024768743,3,13,1,0.0,False
8,239,0,48,252.0,7.583724006780975,3,13,0,0.0,False
8,240,0,45,265.0,7.289345971271214,3,13,0,0.0,False
8,241,0,45,278.0,7.428808612464661,3,13,0,0.0,False
8,242,0,43,179.0,7.367757001334047,0,9,1,-179.0,False
8,243,0,43,103.0,7.2238682880813565,0,7,1,-103.0,False
8,244,0,43,62.0,7.329074028033141,0,4,1,-62.0,False
8,245,0,42,42.0,7.268897900932155,0,3,1,-42.0,False
8,246,0,40,25.0,7.284046413880357,0,2,1,-25.0,False
8,247,0,41,15.0,6.597895459875021,0,2,3,-15.0,False
8,248,0,42,7.0,6.524150389106699,0,1,1,-7.0,False
8,249,0,42,9.0,6.550122529037708,0,0,1,-9.0,False
8,250,0,42,14.0,6.581348325901975,0,0,2,-14.0,False
8,251,0,41,19.0,6.478908376210998,0,0,2,-19.0,False
8,252,0,41,27.0,6.529811102927488,0,2,3,-27.0,False
8,253,0,41,36.0,6.298852068818422,0,4,3,-36.0,False
8,254,0,41,45.0,6.397724203136173,0,3,3,-45.0,False
8,255,0,41,55.0,6.045146460895963,0,4,4,-55.0,False
8,256,0,40,59.0,5.7817304304556565,0,5,4,-59.0,False
8,257,0,40,62.0,5.803909565699264,0,5,4,-62.0,False
8,258,0,41,68.0,5.305192126267995,0,8,5,-68.0,False
