step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,state
234,47,160.0,7.88176133412278,3,9,0,rrrGGgrrrGGg
235,49,169.0,7.590573182011964,4,10,1,rrryyyrrryyy
236,49,179.0,7.715894223798314,4,10,0,rrryyyrrryyy
237,50,190.0,7.676196781238079,4,11,1,rrryyyrrryyy
238,48,202.0,7.5426778512468475,5,11,1,rrrrrrrrrrrr
239,47,214.0,7.507524055120926,5,11,1,rrrrrrrrrrrr
240,47,119.0,7.375823750969413,0,8,2,GGgrrrGGgrrr
241,46,58.0,7.452825352158264,0,5,2,GGgrrrGGgrrr
242,45,33.0,7.637856177565802,0,3,2,GGgrrrGGgrrr
243,44,20.0,7.84102332336358,0,2,2,GGgrrrGGgrrr
244,43,24.0,7.976966112953982,0,2,2,GGgrrrGGgrrr
245,43,19.0,7.786424182294518,0,2,2,GGgrrrGGgrrr
246,46,16.0,7.356471065887427,0,1,4,GGgrrrGGgrrr
247,44,18.0,7.124840102928499,0,0,2,GGgrrrGGgrrr
248,43,21.0,7.049258410818845,0,0,2,GGgrrrGGgrrr
249,43,26.0,7.185557354489664,0,0,3,GGgrrrGGgrrr
250,43,31.0,7.04688902115963,0,1,3,GGgrrrGGgrrr
251,43,38.0,7.15873879412637,0,1,4,GGgrrrGGgrrr
252,43,45.0,7.211162008082941,0,1,4,GGgrrrGGgrrr
253,43,47.0,7.2415586693925995,0,2,4,GGgrrrGGgrrr
254,42,50.0,6.837491849714807,0,3,6,GGgrrrGGgrrr
255,43,54.0,6.746380892925227,0,3,6,GGgrrrGGgrrr
256,43,59.0,6.846860656776205,0,2,6,GGgrrrGGgrrr
257,44,63.0,6.6533688226004335,0,1,7,GGgrrrGGgrrr
258,45,71.0,6.617876162146103,0,3,6,GGgrrrGGgrrr
259,43,76.0,6.414383739125575,0,1,6,GGgrrrGGgrrr
260,42,82.0,6.146436660576358,0,1,7,GGgrrrGGgrrr
261,43,90.0,6.274921849310419,0,0,8,GGgrrrGGgrrr
262,42,100.0,5.997085746933182,0,0,9,GGgrrrGGgrrr
