step,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase,J1_side_queue,J1_main_queue,J2_side_queue,J2_main_queue
204,main_green,main_green,72,78.0,9.929434256707125,12,2,2,0,17,0,16
205,main_green,main_green,72,86.0,10.177111564323198,8,2,2,0,17,0,16
206,main_green,main_green,73,94.0,10.285360902120424,9,2,2,0,17,0,16
207,main_green,main_green,71,102.0,10.387992766805665,8,2,2,0,17,0,16
208,main_green,main_green,71,110.0,10.316353155850106,9,2,2,0,17,0,16
209,main_green,main_green,67,118.0,10.108109544432756,8,2,2,0,17,0,16
210,main_green,main_green,67,126.0,10.228050197391784,8,2,2,0,17,0,16
211,main_green,main_green,64,135.0,9.870328099829884,10,2,2,0,17,0,16
212,main_green,main_green,65,146.0,9.75379096009674,12,2,2,0,17,0,16
213,main_green,main_green,64,158.0,9.835884612671427,12,2,2,0,17,0,16
214,main_green,main_green,64,170.0,9.957688686814379,12,2,2,0,17,0,16
215,main_green,main_green,64,182.0,10.032841397725196,12,2,2,0,17,0,16
216,main_green,main_green,69,194.0,9.36125272311034,17,2,2,0,17,0,16
217,main_green,main_green,70,206.0,9.389782538393476,13,2,2,0,17,0,16
218,main_green,main_green,70,218.0,9.562401891061047,12,2,2,0,17,0,16
219,main_green,main_green,70,230.0,9.629379810006652,12,2,2,0,17,0,16
220,main_green,main_green,71,242.0,9.5035715625909,13,2,2,0,17,0,16
221,main_green,main_green,71,254.0,9.589929950325141,12,2,2,0,17,0,16
222,yellow_transition,yellow_transition,72,266.0,9.444417052063722,13,3,3,6,0,6,0
223,yellow_transition,yellow_transition,72,278.0,9.450696877354662,12,3,3,6,0,6,0
224,yellow_transition,yellow_transition,73,292.0,9.195348631677934,15,3,3,6,0,6,0
225,side_green,side_green,73,62.0,9.328947168647158,8,0,0,6,0,6,0
226,side_green,side_green,73,0.0,9.768926295659387,0,0,0,6,0,6,0
227,side_green,side_green,74,1.0,9.898573215065678,2,0,0,6,0,6,0
228,side_green,side_green,78,3.0,9.477663892227957,7,0,0,6,0,6,0
229,side_green,side_green,77,6.0,9.753502660168985,3,0,0,6,0,6,0
230,side_green,side_green,76,10.0,10.17056911417976,4,0,0,6,0,6,0
231,side_green,side_green,74,16.0,10.464389873293868,6,0,0,6,0,6,0
232,side_green,side_green,76,23.0,10.43697011721398,9,0,0,6,0,6,0
233,side_green,side_green,75,30.0,10.45612289836661,7,0,0,6,0,6,0
234,side_green,side_green,74,38.0,10.511291116713114,8,0,0,6,0,6,0
235,side_green,side_green,72,46.0,10.401145294816919,8,0,0,6,0,6,0
236,side_green,side_green,72,54.0,10.068733148984162,9,0,0,6,0,6,0
237,side_green,side_green,71,63.0,9.713353714704795,10,0,0,6,0,6,0
238,side_green,side_green,69,74.0,9.572844076839269,11,0,0,6,0,6,0
239,side_green,side_green,68,86.0,9.459284750238735,12,0,0,6,0,6,0
240,side_green,side_green,72,100.0,8.671627762279536,19,0,0,6,0,6,0
241,side_green,side_green,68,115.0,8.483747686885106,15,0,0,6,0,6,0
242,side_green,side_green,68,130.0,8.264710020913157,16,0,0,6,0,6,0
243,side_green,side_green,62,145.0,7.817086699240229,15,0,0,6,0,6,0
244,side_green,side_green,60,162.0,7.692873351251851,18,0,0,6,0,6,0
245,side_green,side_green,54,181.0,7.166611762472919,19,0,0,6,0,6,0
246,side_green,side_green,50,201.0,6.853573570366711,20,0,0,6,0,6,0
247,side_green,side_green,49,221.0,6.596034498181495,21,0,0,6,0,6,0
248,side_green,side_green,47,242.0,5.963705280303854,22,0,0,6,0,6,0
249,side_green,side_green,46,263.0,5.821245798435263,21,0,0,6,0,6,0
250,side_green,side_green,45,284.0,5.647442867926429,21,0,0,6,0,6,0
251,side_green,side_green,44,306.0,5.488136639938291,22,0,0,6,0,6,0
252,side_green,side_green,49,329.0,4.914526561202515,28,0,0,6,0,6,0
253,side_green,side_green,48,353.0,4.653416669144849,25,0,0,6,0,6,0
254,side_green,side_green,48,377.0,4.7914166095216935,24,0,0,6,0,6,0
255,side_green,side_green,48,402.0,4.961346962073305,25,0,0,6,0,6,0
256,side_green,side_green,49,427.0,4.9349941834282935,26,0,0,6,0,6,0
257,side_green,side_green,49,452.0,5.155374059767984,25,0,0,6,0,6,0
258,side_green,side_green,50,478.0,5.177551986280088,27,0,0,6,0,6,0
259,side_green,side_green,50,505.0,5.229553371335694,27,0,0,6,0,6,0
260,side_green,side_green,51,532.0,5.233124628652114,28,0,0,6,0,6,0
261,side_green,side_green,48,559.0,4.65220170095381,27,0,0,6,0,6,0
262,side_green,side_green,47,586.0,4.394825221454049,27,0,0,6,0,6,0
263,side_green,side_green,48,614.0,4.3778736742245545,29,0,0,6,0,6,0
264,side_green,side_green,53,643.0,3.9645226354358267,34,0,0,6,0,6,0
265,side_green,side_green,53,672.0,4.052691895434085,29,0,0,6,0,6,0
266,side_green,side_green,53,701.0,4.118441269110344,29,0,0,6,0,6,0
267,yellow_transition,yellow_transition,53,731.0,4.226861270048579,30,1,1,0,14,0,15
268,yellow_transition,yellow_transition,55,762.0,4.280724395130409,33,1,1,0,14,0,15
269,yellow_transition,yellow_transition,55,793.0,4.40157458448313,31,1,1,0,14,0,15
270,main_green,main_green,55,507.0,4.710827643984355,24,2,2,0,14,0,15
271,main_green,main_green,55,272.0,5.0319289716589,16,2,2,0,14,0,15
272,main_green,main_green,56,133.0,5.4042235128626634,13,2,2,0,14,0,15
273,main_green,main_green,57,46.0,6.029073534782738,8,2,2,0,14,0,15
274,main_green,main_green,55,19.0,6.687111995437057,6,2,2,0,14,0,15
275,main_green,main_green,54,10.0,7.5788495758883165,4,2,2,0,14,0,15
276,main_green,main_green,58,14.0,7.764879537207604,9,2,2,0,14,0,15
277,main_green,main_green,58,18.0,8.6429845127113,4,2,2,0,14,0,15
278,main_green,main_green,59,22.0,9.256185192167115,5,2,2,0,14,0,15
279,main_green,main_green,59,26.0,9.861917369906202,4,2,2,0,14,0,15
280,main_green,main_green,60,30.0,10.186229089434196,5,2,2,0,14,0,15
281,main_green,main_green,60,34.0,10.55498009776328,4,2,2,0,14,0,15
282,main_green,main_green,60,38.0,10.697925051753375,4,2,2,0,14,0,15
283,main_green,main_green,61,42.0,10.600203655868572,5,2,2,0,14,0,15
284,main_green,main_green,62,47.0,10.447933944355537,6,2,2,0,14,0,15
285,main_green,main_green,62,55.0,10.550582247843758,8,2,2,0,14,0,15
286,main_green,main_green,62,63.0,10.581774833801497,8,2,2,0,14,0,15
287,main_green,main_green,62,71.0,10.658299418138947,8,2,2,0,14,0,15
288,main_green,main_green,67,79.0,9.908825468992278,13,2,2,0,14,0,15
289,main_green,main_green,68,87.0,9.969696076788395,9,2,2,0,14,0,15
290,main_green,main_green,68,95.0,10.185716491486968,8,2,2,0,14,0,15
291,main_green,main_green,68,103.0,10.428733090012145,8,2,2,0,14,0,15
292,main_green,main_green,69,111.0,10.29122971681096,9,2,2,0,14,0,15
293,main_green,main_green,69,119.0,10.334450229450924,8,2,2,0,14,0,15
294,main_green,main_green,70,127.0,9.951013390301918,9,2,2,0,14,0,15
295,main_green,main_green,70,135.0,10.171058584756368,8,2,2,0,14,0,15
296,main_green,main_green,70,144.0,10.053624774320138,10,2,2,0,14,0,15
297,main_green,main_green,68,156.0,10.031030821925315,12,2,2,0,14,0,15
298,main_green,main_green,66,168.0,9.985236122833838,12,2,2,0,14,0,15
299,main_green,main_green,66,180.0,9.905930173420929,13,2,2,0,14,0,15
300,main_green,main_green,71,192.0,9.271702701069717,17,2,2,0,14,0,15
301,main_green,main_green,69,204.0,9.345220504262835,12,2,2,0,14,0,15
302,main_green,main_green,67,216.0,9.547559731669246,12,2,2,0,14,0,15
303,main_green,main_green,67,228.0,9.58008079984633,12,2,2,0,14,0,15
304,main_green,main_green,68,240.0,9.325937428185492,14,2,2,0,14,0,15
305,main_green,main_green,68,252.0,9.486919671368463,12,2,2,0,14,0,15
306,main_green,main_green,68,264.0,9.448444339132404,12,2,2,0,14,0,15
307,main_green,main_green,68,278.0,9.48256239331027,14,2,2,0,14,0,15
308,main_green,main_green,69,293.0,9.27761934428113,16,2,2,0,14,0,15
309,main_green,main_green,70,308.0,9.291187753864879,16,2,2,0,14,0,15
310,main_green,main_green,70,324.0,9.372191466327775,16,2,2,0,14,0,15
311,main_green,main_green,70,340.0,9.45437923394413,16,2,2,0,14,0,15
312,yellow_transition,yellow_transition,75,356.0,8.817766760787544,21,3,3,8,0,8,0
313,yellow_transition,yellow_transition,75,372.0,8.84842868706148,16,3,3,8,0,8,0
314,yellow_transition,yellow_transition,76,388.0,8.745840246340657,17,3,3,8,0,8,0
315,side_green,side_green,76,109.0,8.927617830030917,8,0,0,8,0,8,0
316,side_green,side_green,77,1.0,9.154385140776439,2,0,0,8,0,8,0
317,side_green,side_green,77,4.0,9.355652084800058,3,0,0,8,0,8,0
318,side_green,side_green,77,8.0,9.701836280126342,4,0,0,8,0,8,0
319,side_green,side_green,75,13.0,9.814329155640683,6,0,0,8,0,8,0
320,side_green,side_green,76,18.0,10.094007385649359,6,0,0,8,0,8,0
321,side_green,side_green,74,25.0,10.322478723171447,7,0,0,8,0,8,0
322,side_green,side_green,73,33.0,10.493489157049273,8,0,0,8,0,8,0
323,side_green,side_green,72,41.0,10.625531546669421,8,0,0,8,0,8,0
324,side_green,side_green,75,50.0,9.9197890253711,14,0,0,8,0,8,0
325,side_green,side_green,74,59.0,9.658188514192211,10,0,0,8,0,8,0
326,side_green,side_green,71,69.0,9.487281218403673,10,0,0,8,0,8,0
327,side_green,side_green,70,80.0,9.425568265854933,11,0,0,8,0,8,0
328,side_green,side_green,69,91.0,9.1966787390287,12,0,0,8,0,8,0
329,side_green,side_green,67,102.0,9.103026897238419,11,0,0,8,0,8,0
330,side_green,side_green,67,115.0,8.918349430994429,14,0,0,8,0,8,0
331,side_green,side_green,66,129.0,8.85151275999803,14,0,0,8,0,8,0
332,side_green,side_green,66,144.0,8.619340369662185,16,0,0,8,0,8,0
333,side_green,side_green,64,160.0,8.34341391602892,16,0,0,8,0,8,0
334,side_green,side_green,58,179.0,7.849416909666155,19,0,0,8,0,8,0
335,side_green,side_green,53,198.0,7.085579665654985,20,0,0,8,0,8,0
336,side_green,side_green,53,217.0,5.930089572952377,24,0,0,8,0,8,0
337,side_green,side_green,50,237.0,5.676092197076946,20,0,0,8,0,8,0
338,side_green,side_green,48,257.0,5.424080858777443,20,0,0,8,0,8,0
339,side_green,side_green,45,278.0,5.14602905575793,21,0,0,8,0,8,0
340,side_green,side_green,47,300.0,4.950883740860904,24,0,0,8,0,8,0
341,side_green,side_green,47,322.0,5.183851254205609,22,0,0,8,0,8,0
342,side_green,side_green,47,346.0,5.464186914229385,24,0,0,8,0,8,0
343,side_green,side_green,47,370.0,5.557665824365979,24,0,0,8,0,8,0
344,side_green,side_green,48,394.0,5.412058279474624,25,0,0,8,0,8,0
345,side_green,side_green,47,418.0,5.001309280538412,25,0,0,8,0,8,0
346,side_green,side_green,45,443.0,4.6686654221412685,25,0,0,8,0,8,0
347,side_green,side_green,45,468.0,4.7495169694265496,25,0,0,8,0,8,0
348,side_green,side_green,50,494.0,4.264208166360235,31,0,0,8,0,8,0
349,side_green,side_green,50,520.0,4.257943120206847,26,0,0,8,0,8,0
350,side_green,side_green,51,546.0,4.273975466914398,27,0,0,8,0,8,0
351,side_green,side_green,51,573.0,4.435197805461486,27,0,0,8,0,8,0
352,side_green,side_green,52,601.0,4.564924324456914,29,0,0,8,0,8,0
353,side_green,side_green,52,630.0,4.795714305754911,29,0,0,8,0,8,0
354,side_green,side_green,52,659.0,5.053885909472933,29,0,0,8,0,8,0
355,side_green,side_green,53,688.0,5.07370483904268,30,0,0,8,0,8,0
356,side_green,side_green,54,717.0,5.077869561571894,30,0,0,8,0,8,0
