step,decision,vehicle_count,total_waiting_time,mean_speed,total_queue,departed_this_step,arrived_this_step,total_departed,total_arrived,action_j1,J1_phase,action_j2,J2_phase,action_j3,J3_phase,action_j4,J4_phase,action_j5,J5_phase
135,2,109,450.0,5.6717946936500825,39,1,2,169,72,1,2,0,0,0,0,0,0,1,2
136,2,109,493.0,5.678828931504969,43,0,0,169,72,1,2,0,0,0,0,0,0,1,2
137,3,110,540.0,5.627060856573532,48,1,0,170,72,0,3,1,1,0,1,1,1,0,3
138,3,110,588.0,5.6555041910677115,48,0,0,170,72,0,3,1,1,0,1,1,1,0,3
139,3,110,638.0,5.641891285467752,50,0,0,170,72,0,3,1,1,0,1,1,1,0,3
140,3,111,347.0,5.7706542462194825,39,1,0,171,72,0,0,1,2,0,0,1,2,0,0
141,3,112,236.0,6.016499102586458,30,1,0,172,72,0,0,1,2,0,0,1,2,0,0
142,3,112,209.0,6.4120925962335615,29,0,0,172,72,0,0,1,2,0,0,1,2,0,0
143,3,112,184.0,6.786323361824359,27,0,0,172,72,0,0,1,2,0,0,1,2,0,0
144,3,112,159.0,7.255942159967932,24,0,0,172,72,0,0,1,2,0,0,1,2,0,0
145,3,120,139.0,6.839227030001466,34,11,3,183,75,0,0,1,2,0,0,1,2,0,0
146,3,119,115.0,7.1954160340533875,20,1,2,184,77,0,0,1,2,0,0,1,2,0,0
147,3,119,91.0,7.68407259385997,17,0,0,184,77,0,0,1,2,0,0,1,2,0,0
148,3,119,68.0,8.042271168914938,14,0,0,184,77,0,0,1,2,0,0,1,2,0,0
149,3,120,68.0,8.454059993060238,16,1,0,185,77,0,0,1,2,0,0,1,2,0,0
150,3,120,53.0,8.851996213805798,12,0,0,185,77,0,0,1,2,0,0,1,2,0,0
151,3,121,64.0,9.227438656208946,14,1,0,186,77,0,0,1,2,0,0,1,2,0,0
152,3,120,63.0,9.628344629455153,12,0,1,186,78,0,0,1,2,0,0,1,2,0,0
153,3,121,61.0,9.892047249327451,11,1,0,187,78,0,0,1,2,0,0,1,2,0,0
154,3,121,68.0,10.116985917360045,10,0,0,187,78,0,0,1,2,0,0,1,2,0,0
155,3,121,78.0,10.36266570734546,10,0,0,187,78,0,0,1,2,0,0,1,2,0,0
156,3,121,88.0,10.326571021541373,11,1,1,188,79,0,0,1,2,0,0,1,2,0,0
157,3,130,99.0,9.479232401668128,22,11,2,199,81,0,0,1,2,0,0,1,2,0,0
158,3,128,111.0,9.659435873615196,12,0,2,199,83,0,0,1,2,0,0,1,2,0,0
159,3,128,124.0,9.726170009787607,13,0,0,199,83,0,0,1,2,0,0,1,2,0,0
160,3,128,137.0,9.943517964852633,13,0,0,199,83,0,0,1,2,0,0,1,2,0,0
161,3,130,153.0,9.960817954161287,18,2,0,201,83,0,0,1,2,0,0,1,2,0,0
162,3,130,170.0,10.087182667878446,17,0,0,201,83,0,0,1,2,0,0,1,2,0,0
163,3,129,188.0,10.168799735599285,18,0,1,201,84,0,0,1,2,0,0,1,2,0,0
164,3,129,207.0,10.174842895962797,19,0,0,201,84,0,0,1,2,0,0,1,2,0,0
165,3,129,226.0,9.967710222873531,20,1,1,202,85,0,0,1,2,0,0,1,2,0,0
166,3,125,246.0,9.564067668627322,21,1,5,203,90,0,0,1,2,0,0,1,2,0,0
167,3,124,268.0,9.212044791089616,22,0,1,203,91,0,0,1,2,0,0,1,2,0,0
168,3,119,291.0,8.6513966284209,23,0,5,203,96,0,0,1,2,0,0,1,2,0,0
169,3,128,317.0,7.567511692401357,37,11,2,214,98,0,0,1,2,0,0,1,2,0,0
170,3,127,346.0,7.379949217285964,29,0,1,214,99,0,0,1,2,0,0,1,2,0,0
171,3,127,376.0,7.173090707349067,31,1,1,215,100,0,0,1,2,0,0,1,2,0,0
172,3,125,407.0,7.138063132927393,31,0,2,215,102,0,0,1,2,0,0,1,2,0,0
173,3,125,444.0,6.8867654902038575,38,1,1,216,103,0,0,1,2,0,0,1,2,0,0
