step,phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
189,side_green,74,69.0,10.14678480554421,10,0,0
190,side_green,71,79.0,9.9101579426091,10,0,0
191,side_green,72,91.0,9.486989917273107,13,0,0
192,side_green,75,105.0,8.622900059505248,19,0,0
193,side_green,74,119.0,8.534704310483626,14,0,0
194,side_green,72,135.0,8.50164924385934,16,0,0
195,side_green,70,152.0,8.521646874017122,17,0,0
196,side_green,69,170.0,8.173970164160055,20,0,0
197,side_green,67,189.0,8.048270139004497,19,0,0
198,side_green,62,209.0,7.804084983967852,20,0,0
199,side_green,58,230.0,7.425910070239607,21,0,0
200,side_green,53,253.0,6.618281759795453,24,0,0
201,side_green,49,276.0,5.9244328787190925,24,0,0
202,side_green,45,300.0,5.423598176743176,24,0,0
203,side_green,44,324.0,5.247938453843004,24,0,0
204,side_green,48,348.0,4.549142890139617,29,0,0
205,side_green,48,372.0,4.656574781816912,24,0,0
206,side_green,49,396.0,4.759316026279173,25,0,0
207,side_green,49,420.0,5.0402501611743995,24,0,0
208,side_green,50,445.0,5.062267459750462,26,0,0
209,side_green,50,471.0,5.213243679250687,26,0,0
210,side_green,50,497.0,5.2428153715471,26,0,0
211,side_green,51,523.0,5.192566494441171,27,0,0
212,side_green,52,551.0,5.136037015294797,29,0,0
213,side_green,51,579.0,4.85494786789454,28,0,0
214,side_green,50,607.0,4.796854186552509,28,0,0
215,side_green,49,636.0,4.610792990039303,29,0,0
216,side_green,54,665.0,4.066809173487919,34,0,0
217,side_green,55,696.0,4.206765194822789,32,0,0
218,side_green,55,727.0,4.322872212010574,31,0,0
219,side_green,55,758.0,4.399469931391145,31,0,0
220,side_green,56,789.0,4.392555500046301,32,0,0
221,side_green,56,821.0,4.597920678152289,32,0,0
222,side_yellow,57,854.0,4.63078845291185,34,1,1
223,side_yellow,57,887.0,4.634928249655939,33,1,1
224,side_yellow,57,921.0,4.41803483845159,35,1,1
225,main_green,54,606.0,4.243113566856619,26,2,2
226,main_green,54,347.0,4.746847913047721,19,2,2
227,main_green,54,163.0,5.147439725911842,13,2,2
228,main_green,59,66.0,5.521058955507961,12,2,2
229,main_green,59,31.0,6.513695952638135,4,2,2
230,main_green,59,12.0,7.567440546791078,2,2,2
231,main_green,59,6.0,8.532913411020049,1,2,2
232,main_green,61,7.0,9.114254185943528,3,2,2
233,main_green,61,8.0,9.945607212114338,1,2,2
234,main_green,61,9.0,10.404645670485591,1,2,2
235,main_green,61,10.0,10.754982334420365,1,2,2
236,main_green,62,13.0,10.79506070821019,4,2,2
237,main_green,61,16.0,10.760690771881144,4,2,2
238,main_green,60,21.0,11.130564587733385,5,2,2
239,main_green,60,26.0,11.149413025158383,5,2,2
240,main_green,65,31.0,10.461107739687058,10,2,2
241,main_green,65,36.0,10.716143496439676,5,2,2
242,main_green,66,41.0,10.759253412841602,6,2,2
243,main_green,66,46.0,10.883377050307915,5,2,2
244,main_green,67,51.0,10.757807340573784,6,2,2
245,main_green,67,56.0,10.841250570430894,5,2,2
246,main_green,67,61.0,10.846426099793232,5,2,2
247,main_green,68,67.0,10.514464717575834,7,2,2
248,main_green,69,74.0,10.443374358050026,8,2,2
249,main_green,69,82.0,10.551009198466609,8,2,2
250,main_green,69,91.0,10.548782860752919,9,2,2
251,main_green,68,100.0,10.68790111306969,9,2,2
252,main_green,71,109.0,9.887578679214066,14,2,2
253,main_green,71,118.0,9.990171045347982,10,2,2
254,main_green,70,127.0,10.10646137120581,9,2,2
255,main_green,67,136.0,10.21533339124856,9,2,2
256,main_green,67,145.0,10.048444787603332,10,2,2
257,main_green,66,154.0,9.95189541913291,9,2,2
258,main_green,66,163.0,9.860301500726578,10,2,2
259,main_green,65,172.0,9.859174869576337,9,2,2
260,main_green,66,183.0,9.709753528614211,12,2,2
261,main_green,66,195.0,9.689946105101038,12,2,2
262,main_green,66,208.0,9.865270070970064,13,2,2
263,main_green,67,221.0,9.710471838165004,14,2,2
264,main_green,72,234.0,9.143016812512533,18,2,2
265,main_green,72,247.0,9.33672613673938,13,2,2
266,main_green,72,260.0,9.545214475254994,13,2,2
267,main_yellow,72,273.0,9.615047528065912,13,3,3
268,main_yellow,74,286.0,9.310038495259084,15,3,3
269,main_yellow,74,300.0,9.19983889386708,14,3,3
270,side_green,74,68.0,9.320920319145523,7,0,0
271,side_green,74,6.0,9.443380208112234,3,0,0
272,side_green,75,9.0,9.609175030937168,4,0,0
273,side_green,75,13.0,9.731788843218624,5,0,0
274,side_green,73,17.0,10.008540142936067,4,0,0
275,side_green,72,22.0,10.284876932001174,5,0,0
276,side_green,74,29.0,9.751659793394488,12,0,0
277,side_green,73,36.0,9.896879892814297,7,0,0
278,side_green,72,45.0,9.75813300953686,10,0,0
279,side_green,71,55.0,9.814957559443524,10,0,0
280,side_green,70,66.0,9.504465010259505,12,0,0
281,side_green,70,78.0,9.518767484800875,12,0,0
282,side_green,69,91.0,9.454787845619219,13,0,0
283,side_green,68,104.0,9.104663081970537,14,0,0
284,side_green,69,118.0,8.975138781258202,15,0,0
285,side_green,67,134.0,8.884089584109272,16,0,0
286,side_green,65,151.0,8.74814626007256,17,0,0
287,side_green,63,169.0,8.470899646227933,18,0,0
288,side_green,62,187.0,7.255455813852333,23,0,0
