step,offset_j2,J1_phase_group,J2_phase_group,vehicle_count,total_waiting_time,mean_speed,total_queue,J1_phase,J2_phase
134,20,side_yellow,side_green,58,825.0,3.8890398219730846,35,1,0
135,20,main_green,side_green,58,695.0,4.187597803891353,30,2,0
136,20,main_green,side_green,59,582.0,4.545818388806828,29,2,0
137,20,main_green,side_green,59,482.0,4.979744946503525,24,2,0
138,20,main_green,side_green,59,387.0,5.502599475925187,20,2,0
139,20,main_green,side_green,60,302.0,5.85141707212952,17,2,0
140,20,main_green,side_green,61,228.0,6.3913427914784675,14,2,0
141,20,main_green,side_green,59,176.0,6.7396555391526825,11,2,0
142,20,main_green,side_green,57,147.0,7.071842461471674,9,2,0
143,20,main_green,side_green,57,156.0,7.646631454850633,9,2,0
144,20,main_green,side_green,62,166.0,7.449531371439627,15,2,0
145,20,main_green,side_green,63,176.0,7.9482657850010145,11,2,0
146,20,main_green,side_green,63,186.0,8.403585323926821,10,2,0
147,20,main_green,side_green,63,197.0,8.760525114596977,11,2,0
148,20,main_green,side_green,64,208.0,9.0381022371083,12,2,0
149,20,main_green,side_green,64,220.0,9.341079046229936,12,2,0
150,20,main_green,side_green,65,232.0,9.314404352623175,13,2,0
151,20,main_green,side_green,65,244.0,9.410517761288547,12,2,0
152,20,main_green,side_yellow,66,257.0,9.198222095311296,14,2,1
153,20,main_green,side_yellow,65,271.0,9.181374586067811,14,2,1
154,20,main_green,side_yellow,65,285.0,9.189386841772063,14,2,1
155,20,main_green,main_green,66,178.0,9.121166134325136,12,2,2
156,20,main_green,main_green,70,122.0,8.48381778341735,14,2,2
157,20,main_green,main_green,70,80.0,8.863580326050652,7,2,2
158,20,main_green,main_green,70,62.0,9.161028256056133,7,2,2
159,20,main_green,main_green,70,56.0,9.545449797712346,5,2,2
160,20,main_green,main_green,72,58.0,9.568326677840789,6,2,2
161,20,main_green,main_green,72,62.0,9.820975243867931,4,2,2
162,20,main_green,main_green,71,66.0,9.905235857696374,4,2,2
163,20,main_green,main_green,70,71.0,10.148980511701229,5,2,2
164,20,main_green,main_green,71,78.0,10.21558392688214,8,2,2
165,20,main_green,main_green,70,85.0,10.196289394852805,8,2,2
166,20,main_green,main_green,68,93.0,10.26917516190328,8,2,2
167,20,main_green,main_green,68,101.0,10.44898946616687,8,2,2
168,20,main_green,main_green,72,109.0,9.805607457284625,13,2,2
169,20,main_green,main_green,71,117.0,10.107705855047785,8,2,2
170,20,main_green,main_green,71,125.0,10.08739016866185,9,2,2
171,20,main_green,main_green,69,133.0,10.149514494005896,8,2,2
172,20,main_green,main_green,70,141.0,10.141225856881038,9,2,2
173,20,main_green,main_green,68,149.0,10.115909218610811,8,2,2
174,20,main_green,main_green,67,157.0,10.115495116444936,8,2,2
175,20,main_green,main_green,67,167.0,9.961609258680951,11,2,2
176,20,main_green,main_green,67,178.0,9.803578505421529,12,2,2
177,20,main_yellow,main_green,66,190.0,9.69215067232891,12,3,2
178,20,main_yellow,main_green,65,202.0,9.6836362236613,12,3,2
179,20,main_yellow,main_green,65,215.0,9.601262861098542,13,3,2
180,20,side_green,main_green,70,90.0,9.15010241737781,14,0,2
181,20,side_green,main_green,71,49.0,9.25581138782251,6,0,2
182,20,side_green,main_green,71,54.0,9.394123638914468,5,0,2
183,20,side_green,main_green,70,60.0,9.470277445765717,6,0,2
184,20,side_green,main_green,70,67.0,9.257258920146663,8,0,2
185,20,side_green,main_green,70,74.0,9.253069655342165,7,0,2
186,20,side_green,main_green,69,83.0,9.155782217612106,10,0,2
187,20,side_green,main_green,69,93.0,9.141979127703882,10,0,2
188,20,side_green,main_green,70,106.0,8.84782057492561,14,0,2
189,20,side_green,main_green,70,121.0,8.483636468777224,15,0,2
190,20,side_green,main_green,70,137.0,8.346037838744623,16,0,2
191,20,side_green,main_green,70,155.0,8.127215940110469,19,0,2
192,20,side_green,main_green,73,174.0,7.332316688316979,24,0,2
193,20,side_green,main_green,73,194.0,7.546442401013498,20,0,2
194,20,side_green,main_green,71,216.0,7.498601516721612,22,0,2
195,20,side_green,main_green,71,240.0,7.642868628214078,24,0,2
196,20,side_green,main_green,71,264.0,7.31742976167282,26,0,2
197,20,side_green,main_yellow,70,288.0,7.41169599878961,24,0,3
198,20,side_green,main_yellow,67,313.0,7.241624766666454,25,0,3
199,20,side_green,main_yellow,64,339.0,6.910481408762521,26,0,3
200,20,side_green,side_green,64,243.0,6.680706962610164,23,0,0
201,20,side_green,side_green,60,238.0,6.099850498827357,22,0,0
202,20,side_green,side_green,58,260.0,6.132001315622989,22,0,0
203,20,side_green,side_green,57,283.0,6.302321086785682,23,0,0
204,20,side_green,side_green,62,306.0,6.063219651608504,28,0,0
205,20,side_green,side_green,62,329.0,6.378820186164748,23,0,0
206,20,side_green,side_green,63,352.0,6.457954153577519,24,0,0
207,20,side_green,side_green,61,375.0,6.543971503495524,23,0,0
208,20,side_green,side_green,62,400.0,6.519789501372787,26,0,0
209,20,side_green,side_green,62,425.0,6.626526558220197,25,0,0
210,20,side_green,side_green,61,451.0,6.46752297330462,26,0,0
211,20,side_green,side_green,62,478.0,6.352624928062704,28,0,0
212,20,side_green,side_green,63,506.0,6.1596681899890005,29,0,0
213,20,side_green,side_green,62,535.0,6.113068831742119,29,0,0
214,20,side_green,side_green,62,564.0,6.020677445231824,29,0,0
215,20,side_green,side_green,60,595.0,5.746284797118408,31,0,0
