episode,decisions,episode_reward,avg_loss,epsilon,final_vehicle_count,final_total_waiting_time,final_mean_speed,final_total_queue
56,80,-966652.0,6.274365406483412,0.11018974619567216,60,413.0,5.4933386713623,28
57,80,-769726.0,6.985957270860672,0.10586808540850008,71,344.0,9.210860570644195,16
58,81,-1046876.0,7.169128892598329,0.10166506293983486,58,491.0,4.917312458229037,30
59,80,-897796.0,6.76601328253746,0.09767774169533124,61,407.0,5.5510946506370065,28
60,80,-1036294.0,5.723109967261553,0.09384680387544904,61,436.0,5.675296818332883,31
61,80,-851334.0,6.645430037379265,0.09016611609539238,59,995.0,4.997442143324637,34
62,81,-940700.0,6.281394091653235,0.08658647063001046,60,516.0,5.4293353611480795,32
63,80,-855539.0,6.443708895146846,0.08319053436787543,50,754.0,4.54097637128473,31
64,80,-728914.0,6.678076317161322,0.07992778730969534,71,346.0,9.275565094032103,16
65,80,-821287.0,7.098078247904778,0.07679300575199617,71,351.0,9.297851233415722,16
66,80,-732710.0,6.999935006350279,0.07378117086585217,73,471.0,6.469117002763608,32
67,80,-578300.0,6.85918910652399,0.07088746066167063,62,471.0,5.7580663583092475,31
68,80,-646080.0,6.813122808933258,0.06810724226911956,63,484.0,5.80175743234587,32
69,80,-704965.0,6.770945246145129,0.06543606451983781,74,736.0,8.542123552938012,22
70,80,-931284.0,6.766323043033481,0.06286965082105252,71,346.0,9.29863016963267,16
71,80,-785764.0,8.072330467030406,0.06040389230869456,75,732.0,8.645018831472349,22
