step,vehicle_count,total_waiting_time,mean_speed,phase,queue_phase_0,queue_phase_3,green_elapsed,state
111,47,65.0,6.799149473425761,3,7,0,14,rrrGGgrrrGGg
112,47,71.0,6.99595919583192,3,6,0,15,rrrGGgrrrGGg
113,48,78.0,7.120178389618353,3,7,1,16,rrrGGgrrrGGg
114,48,85.0,7.4870658629266815,3,7,0,17,rrrGGgrrrGGg
115,46,92.0,7.195091258133674,3,7,1,18,rrrGGgrrrGGg
116,45,99.0,7.076865309941118,3,8,0,19,rrrGGgrrrGGg
117,45,106.0,7.1717366193461105,4,7,0,0,rrryyyrrryyy
118,44,113.0,6.829196876556716,4,7,1,0,rrryyyrrryyy
119,44,121.0,6.75070178881821,4,7,1,0,rrryyyrrryyy
120,44,130.0,6.729478659499205,5,7,2,0,rrrrrrrrrrrr
121,45,142.0,6.501426829803625,5,10,4,0,rrrrrrrrrrrr
122,45,84.0,6.738308291055746,0,5,3,0,GGgrrrGGgrrr
123,45,47.0,6.956116848856703,0,2,4,1,GGgrrrGGgrrr
124,47,29.0,6.833353213156845,0,2,5,2,GGgrrrGGgrrr
125,47,22.0,6.939999922082716,0,0,5,3,GGgrrrGGgrrr
126,48,27.0,6.880164877566558,0,1,5,4,GGgrrrGGgrrr
127,48,32.0,6.977656447291545,0,0,5,5,GGgrrrGGgrrr
128,48,38.0,7.134656417350722,0,0,5,6,GGgrrrGGgrrr
129,48,45.0,7.33128811859859,0,0,6,7,GGgrrrGGgrrr
130,48,50.0,7.257389333733943,0,0,8,8,GGgrrrGGgrrr
131,49,57.0,7.074246335063592,0,1,7,9,GGgrrrGGgrrr
132,50,64.0,6.876669128272753,0,0,8,10,GGgrrrGGgrrr
133,51,72.0,6.673755960916197,0,1,7,11,GGgrrrGGgrrr
134,49,81.0,6.522995201081656,0,0,8,12,GGgrrrGGgrrr
135,49,88.0,6.579327571228991,0,0,9,13,GGgrrrGGgrrr
136,49,97.0,6.438281150113118,0,1,9,14,GGgrrrGGgrrr
137,49,106.0,6.284815178666591,0,0,10,15,GGgrrrGGgrrr
138,47,117.0,6.222309171779206,0,0,10,16,GGgrrrGGgrrr
139,48,128.0,6.366630719838928,0,0,11,17,GGgrrrGGgrrr
140,47,139.0,6.403880932687832,0,0,10,18,GGgrrrGGgrrr
141,48,146.0,6.113098116610804,0,2,10,19,GGgrrrGGgrrr
142,47,158.0,6.027941957551793,1,0,11,0,yyyrrryyyrrr
143,46,170.0,5.926911306530027,1,0,11,0,yyyrrryyyrrr
144,45,182.0,5.6926007500970774,1,0,11,0,yyyrrryyyrrr
145,45,197.0,5.738514187249423,2,2,12,0,rrrrrrrrrrrr
